Unnamed: 0,batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five,runs_x
32911,South Africa,Australia,Colombo,70,51,6,6.086956521739131,34.0,146
40269,South Africa,England,Chittagong,103,44,8,8.131578947368421,39.0,196
11865,Australia,England,Southampton,34,87,7,6.181818181818182,34.0,157
25235,West Indies,India,Barbados,26,90,10,5.2,26.0,169
15014,Sri Lanka,New Zealand,Auckland,87,28,2,5.673913043478261,29.0,115
5838,Sri Lanka,Bangladesh,Colombo,159,22,6,9.73469387755102,39.0,214
44656,South Africa,Australia,Cape Town,121,33,8,8.344827586206897,37.0,178
14954,Sri Lanka,New Zealand,Auckland,36,86,7,6.352941176470588,27.0,115
25438,Australia,Sri Lanka,Barbados,138,12,5,7.666666666666667,60.0,168
27850,New Zealand,Sri Lanka,Lauderhill,55,59,7,5.409836065573771,23.0,120
15319,West Indies,England,London,50,85,9,8.571428571428571,43.0,169
5772,Sri Lanka,Bangladesh,Colombo,66,86,9,11.647058823529411,51.0,214
14137,England,Australia,Southampton,110,38,5,8.048780487804878,35.0,179
9902,Australia,South Africa,Johannesburg,169,11,5,9.30275229357798,40.0,196
16815,Australia,Pakistan,Johannesburg,47,87,8,8.545454545454545,39.0,164
8701,Pakistan,Australia,Dubai,146,4,5,7.551724137931035,44.0,150
7615,Bangladesh,West Indies,Lauderhill,28,89,8,5.419354838709677,28.0,171
7170,South Africa,Sri Lanka,Johannesburg,118,35,9,8.329411764705883,57.0,198
28243,India,South Africa,Durban,139,22,5,8.510204081632653,51.0,168
18850,England,New Zealand,Christchurch,151,20,6,9.06,50.0,193
43115,South Africa,Australia,Sydney,40,89,10,7.741935483870968,40.0,145
31954,India,England,Colombo,121,23,7,7.484536082474227,37.0,170
13668,Pakistan,New Zealand,Auckland,128,13,3,7.177570093457944,51.0,153
44018,Pakistan,Bangladesh,Mirpur,69,51,8,6.0,35.0,141
22165,New Zealand,West Indies,Auckland,57,75,8,7.6,36.0,155
21574,South Africa,India,Nottingham,73,52,8,6.441176470588236,25.0,130
5567,India,Sri Lanka,Colombo,110,35,7,7.764705882352941,37.0,174
41670,Sri Lanka,Bangladesh,Chittagong,140,15,4,8.0,29.0,168
27021,Pakistan,New Zealand,Dubai,122,24,5,7.625,39.0,153
34343,West Indies,Australia,St Lucia,83,40,6,6.225,29.0,150
2240,New Zealand,Australia,Auckland,236,0,4,11.8,37.0,243
12980,Bangladesh,Pakistan,Lahore,45,67,7,5.09433962264151,24.0,136
34498,West Indies,Australia,Barbados,155,11,2,8.53211009174312,29.0,160
29085,India,West Indies,Trinidad,71,47,6,5.835616438356165,22.0,159
41236,India,Sri Lanka,Mirpur,42,76,9,5.727272727272728,33.0,130
23874,Pakistan,Bangladesh,St Lucia,42,87,10,7.636363636363637,35.0,172
13476,New Zealand,West Indies,Mount Maunganui,86,58,8,8.32258064516129,38.0,238
40813,Bangladesh,Australia,Mirpur,142,7,6,7.539823008849558,32.0,153
15493,West Indies,South Africa,Johannesburg,145,39,9,10.74074074074074,52.0,205
28222,India,South Africa,Durban,109,42,7,8.384615384615385,40.0,168
30,Australia,Sri Lanka,Melbourne,44,89,10,8.516129032258064,44.0,168
42875,Australia,South Africa,Adelaide,42,84,8,7.0,37.0,144
37589,England,West Indies,Barbados,30,84,7,5.0,22.0,152
27827,New Zealand,Sri Lanka,Lauderhill,35,82,8,5.526315789473684,26.0,120
45771,Sri Lanka,New Zealand,Auckland,97,30,4,6.466666666666667,33.0,142
18930,Australia,West Indies,Barbados,79,65,7,8.618181818181819,35.0,97
26238,Australia,England,Barbados,24,85,7,4.114285714285714,18.0,147
13221,Australia,India,Sydney,60,77,9,8.372093023255815,45.0,186
39160,Pakistan,India,Mirpur,100,24,6,6.25,35.0,130
30059,New Zealand,South Africa,Hamilton,74,65,9,8.072727272727272,37.0,173
31822,Pakistan,New Zealand,Pallekele,131,29,7,8.637362637362637,35.0,177
32286,West Indies,England,Pallekele,91,64,10,9.75,53.0,179
182,Australia,Sri Lanka,Adelaide,83,65,9,9.054545454545456,43.0,187
33701,Sri Lanka,Pakistan,Colombo,122,6,6,6.421052631578948,27.0,139
27777,Australia,England,Melbourne,128,11,5,7.045871559633028,40.0,147
25756,India,Sri Lanka,St Lucia,82,64,9,8.785714285714286,51.0,163
41889,South Africa,West Indies,Cape Town,104,41,7,7.89873417721519,51.0,165
38392,New Zealand,West Indies,Auckland,61,72,8,7.625,29.0,189
22422,India,New Zealand,Christchurch,64,65,5,6.9818181818181815,24.0,162
49707,Bangladesh,Sri Lanka,Mirpur,43,82,7,6.789473684210527,41.0,147
45789,Sri Lanka,New Zealand,Auckland,117,12,2,6.5,42.0,142
21664,Pakistan,South Africa,Nottingham,47,83,8,7.621621621621622,39.0,149
25270,West Indies,India,Barbados,70,56,10,6.5625,40.0,169
2446,New Zealand,Australia,Auckland,101,44,3,7.973684210526316,29.0,150
25063,New Zealand,Pakistan,Barbados,107,14,4,6.056603773584905,24.0,133
17629,India,South Africa,Durban,101,24,6,6.3125,38.0,153
48811,Australia,India,Chandigarh,136,12,5,7.555555555555555,33.0,160
45993,Pakistan,New Zealand,Hamilton,66,55,8,6.092307692307692,32.0,168
46226,Sri Lanka,West Indies,Pallekele,73,73,10,9.319148936170214,37.0,215
13920,South Africa,England,Cape Town,163,6,5,8.578947368421053,46.0,179
19705,England,West Indies,Trinidad,68,63,7,7.157894736842105,33.0,121
33429,Pakistan,Australia,Colombo,108,31,8,7.280898876404494,48.0,149
