,batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five,runs_x
7797,Bangladesh,West Indies,Lauderhill,135,30,6,9.0,36.0,184
10813,New Zealand,England,Auckland,93,81,9,14.307692307692308,64.0,146
36577,Sri Lanka,Australia,Melbourne,111,23,6,6.865979381443299,46.0,161
41239,India,Sri Lanka,Mirpur,46,73,9,5.872340425531915,36.0,130
43522,South Africa,Bangladesh,Mirpur,77,53,8,6.895522388059701,39.0,148
19882,Australia,West Indies,London,145,11,4,7.981651376146789,45.0,169
8277,New Zealand,Sri Lanka,Auckland,59,52,5,5.205882352941177,26.0,179
45637,New Zealand,Sri Lanka,Mount Maunganui,111,42,9,8.538461538461538,35.0,182
16769,New Zealand,England,Durban,148,10,2,8.072727272727272,52.0,164
48729,Australia,India,Chandigarh,56,88,9,10.5,52.0,160
6388,South Africa,Sri Lanka,Colombo,42,88,8,7.875,34.0,98
31395,New Zealand,Bangladesh,Pallekele,33,86,9,5.823529411764706,25.0,191
4291,England,India,Manchester,61,75,9,8.133333333333333,39.0,159
40553,India,Australia,Mirpur,132,16,6,7.615384615384615,55.0,159
28362,Pakistan,New Zealand,Auckland,98,27,3,6.32258064516129,25.0,143
8181,New Zealand,India,Hamilton,166,23,7,10.268041237113403,55.0,212
2730,Pakistan,West Indies,Trinidad,124,6,2,6.526315789473684,42.0,132
9365,Sri Lanka,Australia,Melbourne,47,76,8,6.409090909090909,31.0,142
572,South Africa,New Zealand,Auckland,112,45,8,8.96,45.0,185
27607,Australia,England,Adelaide,88,58,9,8.516129032258064,49.0,157
24061,India,South Africa,St Lucia,126,24,7,7.875,45.0,186
47685,Sri Lanka,West Indies,Bangalore,88,25,5,5.557894736842106,31.0,122
28192,India,South Africa,Durban,69,72,8,8.625,47.0,168
31018,England,Pakistan,Abu Dhabi,38,85,8,6.514285714285714,31.0,129
17983,India,Pakistan,Johannesburg,98,42,8,7.538461538461538,47.0,157
15598,West Indies,Bangladesh,Johannesburg,64,62,9,6.620689655172414,40.0,164
23943,Pakistan,Bangladesh,St Lucia,149,18,9,8.764705882352942,45.0,172
4438,India,England,Cardiff,73,53,7,6.537313432835821,42.0,148
30686,Sri Lanka,Pakistan,Abu Dhabi,94,55,7,8.676923076923076,31.0,141
47268,South Africa,England,Mumbai,78,86,10,13.764705882352942,77.0,229
6393,South Africa,Sri Lanka,Colombo,48,83,7,7.783783783783784,34.0,98
